Municipality Code,Municipality Name,Registered Voters,Issued Envelopes,Valid Votes,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
548898,RokytÚany,82,44,42,"7,14 %","0,00 %","0,00 %","9,52 %","0,00 %","2,38 %","2,38 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,38 %","0,00 %","7,14 %","54,76 %","0,00 %","2,38 %","4,76 %","0,00 %","0,00 %","0,00 %","7,14 %","0,00 %"
573442,Samöina,220,129,129,"11,62 %","1,55 %","0,00 %","3,10 %","0,00 %","9,30 %","10,07 %","0,00 %","3,87 %","0,77 %","0,00 %","0,00 %","10,07 %","0,00 %","3,87 %","24,80 %","0,00 %","0,00 %","3,87 %","0,77 %","0,00 %","0,77 %","14,72 %","0,77 %"
573451,SbÏ¯,207,110,110,"5,45 %","0,00 %","0,00 %","9,09 %","0,00 %","5,45 %","16,36 %","0,90 %","0,90 %","0,90 %","0,00 %","0,00 %","5,45 %","0,90 %","2,72 %","30,00 %","0,90 %","0,00 %","5,45 %","0,00 %","0,00 %","0,00 %","15,45 %","0,00 %"
548961,SedliötÏ,89,66,63,"4,76 %","0,00 %","0,00 %","9,52 %","0,00 %","11,11 %","12,69 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","4,76 %","0,00 %","6,34 %","26,98 %","0,00 %","0,00 %","6,34 %","1,58 %","0,00 %","0,00 %","9,52 %","1,58 %"
572144,Seke¯ice,102,89,88,"10,22 %","0,00 %","1,13 %","3,40 %","0,00 %","1,13 %","7,95 %","1,13 %","2,27 %","1,13 %","0,00 %","0,00 %","4,54 %","0,00 %","2,27 %","52,27 %","1,13 %","1,13 %","1,13 %","2,27 %","0,00 %","0,00 %","6,81 %","0,00 %"
573469,Slatiny,452,240,235,"5,53 %","0,00 %","1,27 %","11,48 %","0,00 %","12,34 %","7,23 %","1,27 %","0,85 %","0,42 %","0,42 %","0,00 %","8,93 %","0,00 %","1,70 %","31,91 %","0,42 %","0,00 %","5,53 %","0,00 %","0,42 %","0,85 %","6,38 %","2,97 %"
572187,Slavhostice,109,53,53,"0,00 %","5,66 %","0,00 %","7,54 %","1,88 %","5,66 %","20,75 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,66 %","0,00 %","1,88 %","24,52 %","0,00 %","0,00 %","1,88 %","0,00 %","1,88 %","0,00 %","20,75 %","1,88 %"
573477,SobËice,238,170,169,"17,75 %","0,00 %","0,00 %","10,05 %","0,00 %","2,36 %","3,55 %","0,59 %","0,59 %","2,36 %","0,00 %","0,00 %","6,50 %","0,00 %","4,14 %","37,86 %","0,00 %","0,59 %","3,55 %","1,18 %","0,00 %","0,59 %","8,28 %","0,00 %"
573361,SobÏraz,92,62,60,"18,33 %","0,00 %","0,00 %","1,66 %","0,00 %","15,00 %","1,66 %","0,00 %","3,33 %","1,66 %","0,00 %","0,00 %","21,66 %","0,00 %","3,33 %","30,00 %","1,66 %","0,00 %","0,00 %","1,66 %","0,00 %","0,00 %","0,00 %","0,00 %"
573493,Sobotka,1 930,1 198,1 188,"9,09 %","0,00 %","0,00 %","6,22 %","0,00 %","5,97 %","6,81 %","1,76 %","1,59 %","1,17 %","0,00 %","0,16 %","11,53 %","0,00 %","9,42 %","32,40 %","0,00 %","0,16 %","4,71 %","0,67 %","0,25 %","0,08 %","7,82 %","0,08 %"
